"time","m.friendly_name_str","m.value","state.state"
"2023-07-16T23:03:33.222+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:03:33.396+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:03:33.742+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:03:38.109+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:03:38.623+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:03:43.344+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:03:43.491+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:03:48.351+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:03:48.496+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:03:53.353+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:03:53.508+01:00","MQTT iPhoneJD BedroomJK Raw","2.87",
"2023-07-16T23:03:58.161+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:03:58.369+01:00","MQTT iPhoneJD Office Raw","5.18",
"2023-07-16T23:03:58.535+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:04:03.291+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:04:03.388+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:04:04.788+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:04:08.112+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:04:08.403+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:04:13.128+01:00","MQTT iPhoneJD LivingRoom Raw","0.88",
"2023-07-16T23:04:13.347+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:04:13.492+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:04:18.137+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:04:18.346+01:00","MQTT iPhoneJD Office Raw","5.18",
"2023-07-16T23:04:18.499+01:00","MQTT iPhoneJD BedroomJK Raw","2.87",
"2023-07-16T23:04:23.567+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:04:23.571+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:04:28.107+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:04:28.415+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:04:28.633+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:04:33.492+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:04:33.859+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:04:38.107+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:04:38.350+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:04:38.493+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:04:43.492+01:00","MQTT iPhoneJD BedroomJK Raw","2.87",
"2023-07-16T23:04:48.347+01:00","MQTT iPhoneJD Office Raw","3.98",
